well_API14,operator,ENVBasin,Formation,prob_exceeds_breakeven,expected_profit_USD,pred_central_p50,band_low_calibrated,band_high_calibrated,actual_boe,is_labelled,rank_by_probability,recommended_top10pct
37019222200000,,APPALACHIAN,MARCELLUS SHALE,0.032,-331838.0,1704.0,-892.0,8106.0,,False,7157,False
37059262370000,,APPALACHIAN,MARCELLUS SHALE,0.032,440447.0,21011.0,-615.0,37868.0,,False,7158,False
37059266410000,,APPALACHIAN,MARCELLUS SHALE,0.032,576854.0,24421.0,-301.0,57051.0,,False,7159,False
37059266460000,,APPALACHIAN,MARCELLUS SHALE,0.032,20940.0,10523.0,-739.0,27258.0,,False,7160,False
37081214830000,,APPALACHIAN,MARCELLUS SHALE,0.032,245000.0,16125.0,-125.0,59287.0,,False,7161,False
37081217790000,,APPALACHIAN,MARCELLUS SHALE,0.032,-19362.0,9516.0,-615.0,25346.0,,False,7162,False
37081217800000,,APPALACHIAN,MARCELLUS SHALE,0.032,-19362.0,9516.0,-615.0,32472.0,,False,7163,False
37081218080000,,APPALACHIAN,MARCELLUS SHALE,0.032,48087.0,11202.0,-482.0,52492.0,,False,7164,False
37083568650000,,APPALACHIAN,MARCELLUS SHALE,0.032,489142.0,22229.0,-212.0,56717.0,,False,7165,False
37115212660000,,APPALACHIAN,MARCELLUS SHALE,0.032,-54754.0,8631.0,-827.0,51064.0,,False,7166,False
37115216660000,,APPALACHIAN,MARCELLUS SHALE,0.032,288190.0,17205.0,-659.0,54806.0,,False,7167,False
37115216760000,,APPALACHIAN,MARCELLUS SHALE,0.032,-92995.0,7675.0,-233.0,24195.0,-0.0,True,7168,False
37115219990000,,APPALACHIAN,MARCELLUS SHALE,0.032,63347.0,11584.0,-515.0,37390.0,,False,7169,False
37115220000000,,APPALACHIAN,MARCELLUS SHALE,0.032,5574.0,10139.0,-643.0,46677.0,,False,7170,False
37115220010000,,APPALACHIAN,MARCELLUS SHALE,0.032,71997.0,11800.0,-512.0,53986.0,,False,7171,False
37115220020000,,APPALACHIAN,MARCELLUS SHALE,0.032,-23683.0,9408.0,-520.0,36661.0,,False,7172,False
37115220210000,,APPALACHIAN,MARCELLUS SHALE,0.032,-44592.0,8885.0,-770.0,39019.0,,False,7173,False
37115225590000,,APPALACHIAN,MARCELLUS SHALE,0.032,-29059.0,9274.0,-829.0,32416.0,,False,7174,False
37117218450000,,APPALACHIAN,MARCELLUS SHALE,0.032,-228883.0,4278.0,-759.0,53770.0,,False,7175,False
37125270540000,,APPALACHIAN,MARCELLUS SHALE,0.032,285707.0,17143.0,-632.0,56253.0,,False,7176,False
37125271830000,,APPALACHIAN,MARCELLUS SHALE,0.032,447368.0,21184.0,-759.0,56315.0,,False,7177,False
37125280970000,,APPALACHIAN,MARCELLUS SHALE,0.032,389074.0,19727.0,-302.0,80164.0,-0.0,True,7178,False
42103341260000,Chevron USA Inc.,PERMIAN OTHER,SAN ANDRES,0.032,-402059.0,-51.0,-1396.0,8225.0,-185.0,True,7179,False
42103341270000,Chevron USA Inc.,PERMIAN OTHER,SAN ANDRES,0.032,-414309.0,-358.0,-1274.0,8893.0,-107.0,True,7180,False
42121344980000,"EnerVest, Ltd.",FORT WORTH,BARNETT SHALE,0.032,-272062.0,3198.0,-236.0,20154.0,,False,7181,False
42121345020000,"EnerVest, Ltd.",FORT WORTH,BARNETT SHALE,0.032,-225885.0,4353.0,31.0,24891.0,,False,7182,False
42227352390000,"Rover Petroleum Operating, LLC",PERMIAN OTHER,CLEAR FORK,0.032,-392201.0,195.0,-306.0,8655.0,44.0,True,7183,False
42237393740000,"Petrobal Omega 1, LLC",FORT WORTH,ELLENBURGER,0.032,-384015.0,400.0,-932.0,9913.0,,False,7184,False
42337346720000,Pioneer Natural Resources,FORT WORTH,BARNETT SHALE,0.032,-396256.0,94.0,-909.0,5723.0,,False,7185,False
42357329660000,Apache Corporation,ANADARKO,CLEVELAND,0.032,-376123.0,597.0,-2768.0,17114.0,,False,7186,False
42365357250000,Devon Energy Production Company L. P.,ARK-LA-TX,PETTIT,0.032,-382998.0,425.0,-188.0,7065.0,38.0,True,7187,False
42365385560000,Sabine Oil & Gas Corporation,ARK-LA-TX,HAYNESVILLE SHALE,0.032,-192281.0,5193.0,-57.0,92738.0,,False,7188,False
42405306510000,BP America Production Company,ARK-LA-TX,HAYNESVILLE SHALE,0.032,347357.0,18684.0,-80.0,59463.0,,False,7189,False
42415005560000,Unitex Oil Company,PERMIAN OTHER,SAN ANDRES,0.032,-388813.0,280.0,-351.0,6535.0,180.0,True,7190,False
42431331830000,"CrownQuest Operating, LLC",MIDLAND,CANYON,0.032,-360604.0,985.0,-525.0,9637.0,1029.0,True,7191,False
42461002910000,Chevron USA Inc.,PERMIAN OTHER,MCELROY,0.032,-396324.0,92.0,-1170.0,6707.0,26.0,True,7192,False
42461006430000,Chevron USA Inc.,PERMIAN OTHER,A-1,0.032,-394829.0,129.0,-1211.0,8704.0,-254.0,True,7193,False
42461010480000,Chevron USA Inc.,PERMIAN OTHER,GRAYBURG,0.032,-428670.0,-717.0,-1843.0,8240.0,-768.0,True,7194,False
42461304960000,Chevron USA Inc.,PERMIAN OTHER,MCELROY,0.032,-339385.0,1515.0,-481.0,9691.0,80.0,True,7195,False
42461322340000,Chevron USA Inc.,PERMIAN OTHER,MCELROY,0.032,-421534.0,-538.0,-1784.0,6472.0,-514.0,True,7196,False
42461331800000,Chevron USA Inc.,PERMIAN OTHER,SAN ANDRES,0.032,-387314.0,317.0,-983.0,6883.0,298.0,True,7197,False
42461331850000,Chevron USA Inc.,PERMIAN OTHER,SAN ANDRES,0.032,-405464.0,-137.0,-1325.0,6055.0,851.0,True,7198,False
42461331960000,Chevron USA Inc.,PERMIAN OTHER,GRAYBURG,0.032,-397402.0,65.0,-1555.0,12486.0,763.0,True,7199,False
42461343010000,Chevron USA Inc.,PERMIAN OTHER,,0.032,-389998.0,250.0,-3163.0,5332.0,1230.0,True,7200,False
42461346300000,Chevron USA Inc.,PERMIAN OTHER,YATES,0.032,-415187.0,-380.0,-1379.0,7331.0,-187.0,True,7201,False
42461346390000,Chevron USA Inc.,PERMIAN OTHER,YATES,0.032,-402079.0,-52.0,-686.0,6911.0,-68.0,True,7202,False
42461361930000,Chevron USA Inc.,PERMIAN OTHER,GRAYBURG,0.032,-431258.0,-781.0,-1889.0,6101.0,-783.0,True,7203,False
42461378900000,"Parsley Energy Operations, LLC",MIDLAND,TREND AREA,0.032,-472698.0,-1817.0,-4434.0,10251.0,-2696.0,True,7204,False
42475335780000,Whiting Petroleum,PERMIAN OTHER,YATES,0.032,-353477.0,1163.0,-633.0,7456.0,179.0,True,7205,False
42475349750000,Whiting Petroleum,PERMIAN OTHER,YATES,0.032,-416962.0,-424.0,-2612.0,3371.0,-2501.0,True,7206,False
42483324810000,Apache Corporation,ANADARKO,GRANITE WASH E,0.032,-273028.0,3174.0,-917.0,11376.0,3974.0,True,7207,False
42485368170000,Urban Oil and Gas Group,FORT WORTH,GUNSIGHT,0.032,-399491.0,13.0,-903.0,9165.0,-112.0,True,7208,False
42485421500000,Urban Oil and Gas Group,FORT WORTH,GUNSIGHT SAND,0.032,-396893.0,78.0,-912.0,10853.0,-48.0,True,7209,False
42485450320000,Extex Operating Company,FORT WORTH,CASH (STRAWN 3820),0.032,-392545.0,186.0,-2540.0,13834.0,-402.0,True,7210,False
42485458200000,Urban Oil and Gas Group,FORT WORTH,CISCO,0.032,-343564.0,1411.0,-1908.0,5925.0,3207.0,True,7211,False
42495312490000,XTO Energy/ExxonMobil,PERMIAN OTHER,PENNSYLVANIAN,0.032,-336712.0,1582.0,-273.0,8496.0,1532.0,True,7212,False
42495331150000,Whiting Petroleum,PERMIAN OTHER,YATES,0.032,-348022.0,1299.0,-580.0,8138.0,356.0,True,7213,False
42497355440000,"Aruba Petroleum, Inc.",FORT WORTH,BARNETT SHALE LOWER,0.032,-323949.0,1901.0,-727.0,5663.0,,False,7214,False
42497360690000,"Aruba Petroleum, Inc.",FORT WORTH,BARNETT SHALE UPPER,0.032,-228629.0,4284.0,-633.0,8553.0,8506.0,True,7215,False
47033056960000,,APPALACHIAN,MARCELLUS SHALE,0.032,493024.0,22326.0,-138.0,54327.0,,False,7216,False
47095021560000,,APPALACHIAN,MARCELLUS SHALE,0.032,-185761.0,5356.0,-1036.0,47081.0,,False,7217,False
47095021570000,,APPALACHIAN,MARCELLUS SHALE,0.032,-185912.0,5352.0,-1035.0,46769.0,,False,7218,False
49025238360000,Anadarko Petroleum Corporation,POWDER RIVER,WALL CREEK-2,0.032,-321615.0,1960.0,-538.0,12207.0,,False,7219,False
49041209910000,Hilcorp Energy Company,GREATER GREEN RIVER,DAKOTA | FRONTIER,0.032,-383767.0,406.0,-692.0,2934.0,1608.0,True,7220,False
4030291760000,California Resources Corporation,WESTERN US OTHER,STEVENS 31S,0.03,-368368.0,791.0,-504.0,11688.0,337.0,True,7221,False
4030464570000,Occidental Oil and Gas,WESTERN US OTHER,UPPER UNDIFFERENTIATED,0.03,-400278.0,-7.0,-2008.0,3505.0,1207.0,True,7222,False
5123112280000,K.P. Kauffman Company,DENVER-JULESBURG,NIOBRARA-CODELL,0.03,-329329.0,1767.0,16.0,6504.0,918.0,True,7223,False
5123119850000,K.P. Kauffman Company,DENVER-JULESBURG,NIOBRARA-CODELL,0.03,-364407.0,890.0,-227.0,8796.0,745.0,True,7224,False
5123127090000,K.P. Kauffman Company,DENVER-JULESBURG,J SAND,0.03,-356877.0,1078.0,-197.0,8356.0,834.0,True,7225,False
5123196750000,Encana Oil & Gas (USA) Inc.,DENVER-JULESBURG,GREENHORN | NIOBRARA-CODELL | J SAND,0.03,-357926.0,1052.0,-414.0,12425.0,6.0,True,7226,False
5123214490000,Anadarko Petroleum Corporation,DENVER-JULESBURG,NIOBRARA-CODELL,0.03,-338006.0,1550.0,-577.0,6054.0,3823.0,True,7227,False
5123227620000,Encana Oil & Gas (USA) Inc.,DENVER-JULESBURG,J SAND | NIOBRARA-CODELL,0.03,-351220.0,1220.0,-262.0,3644.0,2814.0,True,7228,False
5123230510000,Anadarko Petroleum Corporation,DENVER-JULESBURG,NIOBRARA-CODELL,0.03,-389411.0,265.0,-760.0,5874.0,1209.0,True,7229,False
5123231300000,Encana Oil & Gas (USA) Inc.,DENVER-JULESBURG,J SAND | NIOBRARA-CODELL,0.03,-361890.0,953.0,-471.0,5246.0,1888.0,True,7230,False
5123249250000,Encana Oil & Gas (USA) Inc.,DENVER-JULESBURG,NIOBRARA-CODELL | J SAND,0.03,-352412.0,1190.0,-259.0,4817.0,1507.0,True,7231,False
5123259370000,"Noble Energy, Inc.",DENVER-JULESBURG,NIOBRARA-CODELL,0.03,-365066.0,873.0,-412.0,4767.0,108.0,True,7232,False
17013219080000,QEP Energy Company,ARK-LA-TX,HAYNESVILLE SHALE,0.03,664824.0,26621.0,-77.0,65271.0,-0.0,True,7233,False
17013220270000,QEP Energy Company,ARK-LA-TX,HAYNESVILLE,0.03,571885.0,24297.0,-77.0,61127.0,-0.0,True,7234,False
17013220650000,QEP Energy Company,ARK-LA-TX,HAYNESVILLE,0.03,765829.0,29146.0,-77.0,62627.0,-0.0,True,7235,False
17013220800000,QEP Energy Company,ARK-LA-TX,COTTON VALLEY,0.03,1036511.0,35913.0,-77.0,57784.0,-0.0,True,7236,False
17013220960000,QEP Energy Company,ARK-LA-TX,HAYNESVILLE SHALE,0.03,322984.0,18075.0,-77.0,54218.0,-0.0,True,7237,False
